,Unnamed: 0,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,country
8566,8566,Renault,Clio,55000.0,2021,1,101.0,0,petrol,1.0,0,0,0,0,0,0,France
8567,8567,Nissan,X-Trail,130000.0,2020,2,150.0,0,diesel,1.7,0,0,0,0,0,0,Japan
8568,8568,Mercedes-Benz,316,85000.0,2017,2,160.0,0,diesel,2.1,0,0,0,0,0,0,Germany
8569,8569,Hyundai,i20,37900.0,2014,2,100.0,0,petrol,1.4,0,0,0,0,0,0,South Korea
8570,8570,Seat,Ibiza,39900.0,2016,2,110.0,0,petrol,1.0,0,1,0,1,0,0,Spain
8571,8571,Nissan,Qashqai,9000.0,2019,2,160.0,0,petrol,1.3,0,0,0,0,0,0,Japan
8572,8572,Volkswagen,Passat CC,62000.0,2016,4,160.0,0,petrol,1.8,0,0,0,0,0,0,Germany
8573,8573,BMW,3 Series,250000.0,2024,0,156.0,0,petrol,2.0,0,0,0,0,0,0,Germany
8574,8574,Chevrolet,Traverse,28000.0,2009,3,281.0,1,electric,3.6,0,0,0,0,0,0,United States
8575,8575,Mazda,5,23000.0,2010,4,145.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8576,8576,Nissan,Qashqai,38000.0,2012,2,140.0,0,petrol,2.0,0,0,0,0,0,0,Japan
